Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
1900-01-01 23:07:08;1.0;1745672828;99.568;101.098;96.343;103.513;
1900-01-01 23:07:09;2.0;1745672829;99.568;101.136;96.368;103.513;
1900-01-01 23:07:10;3.0;1745672830;99.487;101.164;96.368;103.438;
1900-01-01 23:07:11;4.0;1745672831;99.487;101.164;96.357;103.385;
1900-01-01 23:07:12;5.0;1745672832;99.558;101.103;96.328;103.432;
1900-01-01 23:07:13;6.0;1745672833;99.529;101.103;96.328;103.432;
1900-01-01 23:07:14;7.0;1745672834;99.529;101.138;96.346;103.517;
1900-01-01 23:07:15;8.0;1745672835;99.537;101.08;96.429;103.517;
1900-01-01 23:07:16;9.0;1745672836;99.591;101.08;96.429;103.449;
1900-01-01 23:07:17;10.0;1745672837;99.591;101.081;96.379;103.454;
1900-01-01 23:07:18;11.0;1745672838;99.688;100.913;96.374;103.454;
1900-01-01 23:07:19;12.0;1745672839;99.712;100.913;96.374;103.327;
1900-01-01 23:07:20;13.0;1745672840;99.712;100.963;96.415;103.349;
1900-01-01 23:07:21;14.0;1745672841;99.7;101.014;96.415;103.349;
1900-01-01 23:07:22;15.0;1745672842;99.821;101.014;96.376;103.42;
1900-01-01 23:07:23;16.0;1745672843;99.821;101.002;96.335;103.414;
1900-01-01 23:07:24;17.0;1745672844;99.745;101.055;96.335;103.414;
1900-01-01 23:07:25;18.0;1745672845;99.774;101.055;96.318;103.463;
1900-01-01 23:07:26;19.0;1745672846;99.774;101.029;96.335;103.433;
1900-01-01 23:07:27;20.0;1745672847;99.803;101.03;96.335;103.433;
1900-01-01 23:07:28;21.0;1745672848;99.803;101.03;96.314;103.388;
1900-01-01 23:07:29;22.0;1745672849;99.644;101.0;96.403;103.388;
1900-01-01 23:07:30;23.0;1745672850;99.695;101.0;96.403;103.476;
1900-01-01 23:07:31;24.0;1745672851;99.695;100.918;96.431;103.4;
1900-01-01 23:07:32;25.0;1745672852;99.694;100.96;96.39;103.4;
1900-01-01 23:07:33;26.0;1745672853;99.655;100.899;96.39;103.496;
1900-01-01 23:07:34;27.0;1745672854;99.655;100.899;96.511;103.472;
1900-01-01 23:07:35;28.0;1745672855;99.662;100.929;96.481;103.472;
1900-01-01 23:07:36;29.0;1745672856;99.689;100.932;96.481;103.431;
1900-01-01 23:07:37;30.0;1745672857;99.689;100.932;96.321;103.35;
1900-01-01 23:07:38;31.0;1745672858;99.618;100.984;96.226;103.35;
1900-01-01 23:07:39;32.0;1745672859;99.622;100.984;96.226;103.394;
1900-01-01 23:07:40;33.0;1745672860;99.622;100.914;96.259;103.425;
1900-01-01 23:07:41;34.0;1745672861;99.599;100.86;96.259;103.425;
1900-01-01 23:07:42;35.0;1745672862;99.655;100.86;96.289;103.489;
1900-01-01 23:07:43;36.0;1745672863;99.655;100.959;96.321;103.438;
1900-01-01 23:07:44;37.0;1745672864;99.712;101.055;96.321;103.438;
1900-01-01 23:07:45;38.0;1745672865;99.777;101.055;96.333;103.455;
1900-01-01 23:07:46;39.0;1745672866;99.777;100.949;96.307;103.457;
1900-01-01 23:07:47;40.0;1745672867;99.757;101.004;96.307;103.457;
1900-01-01 23:07:48;41.0;1745672868;99.779;101.004;96.302;103.534;
1900-01-01 23:07:49;42.0;1745672869;99.779;100.895;96.317;103.534;
1900-01-01 23:07:50;43.0;1745672870;99.785;100.985;96.317;103.411;
1900-01-01 23:07:51;44.0;1745672871;99.785;100.985;96.299;103.427;
1900-01-01 23:07:53;45.0;1745672873;99.797;100.893;96.164;103.397;
1900-01-01 23:07:53;46.0;1745672873;99.703;100.887;96.164;103.397;
1900-01-01 23:07:54;47.0;1745672874;99.703;100.887;96.091;103.396;
1900-01-01 23:07:55;48.0;1745672875;99.729;100.921;96.139;103.396;
1900-01-01 23:07:57;49.0;1745672877;99.65;100.892;96.139;103.434;
1900-01-01 23:07:57;50.0;1745672877;99.65;100.892;96.123;103.367;
1900-01-01 23:07:58;51.0;1745672878;99.742;100.876;96.189;103.367;
1900-01-01 23:07:59;52.0;1745672879;99.697;100.869;96.189;103.37;
1900-01-01 23:08:00;53.0;1745672880;99.697;100.869;96.258;103.373;
1900-01-01 23:08:01;54.0;1745672881;99.746;100.875;96.326;103.373;
1900-01-01 23:08:02;55.0;1745672882;99.698;100.875;96.326;103.415;
1900-01-01 23:08:03;56.0;1745672883;99.698;100.983;96.285;103.421;
1900-01-01 23:08:04;57.0;1745672884;99.746;100.932;96.285;103.421;
1900-01-01 23:08:05;58.0;1745672885;99.746;100.932;96.298;103.45;
1900-01-01 23:08:06;59.0;1745672886;99.631;100.904;96.341;103.375;
1900-01-01 23:08:07;60.0;1745672887;99.66;100.931;96.341;103.375;
1900-01-01 23:08:08;61.0;1745672888;99.66;100.931;96.314;103.445;
1900-01-01 23:08:09;62.0;1745672889;99.786;100.877;96.304;103.445;
1900-01-01 23:08:10;63.0;1745672890;99.776;100.87;96.304;103.407;
1900-01-01 23:08:11;64.0;1745672891;99.718;100.87;96.321;103.428;
1900-01-01 23:08:12;65.0;1745672892;99.718;100.885;96.335;103.428;
1900-01-01 23:08:13;66.0;1745672893;99.72;100.876;96.335;103.364;
1900-01-01 23:08:14;67.0;1745672894;99.72;100.876;96.266;103.415;
1900-01-01 23:08:15;68.0;1745672895;99.708;100.797;96.181;103.415;
1900-01-01 23:08:16;69.0;1745672896;99.68;100.938;96.181;103.422;
1900-01-01 23:08:17;70.0;1745672897;99.68;100.938;96.073;103.375;
1900-01-01 23:08:18;71.0;1745672898;99.691;100.875;96.16;103.375;
1900-01-01 23:08:19;72.0;1745672899;99.557;100.875;96.16;103.338;
1900-01-01 23:08:20;73.0;1745672900;99.557;100.899;96.126;103.352;
1900-01-01 23:08:21;74.0;1745672901;99.64;100.916;96.126;103.352;
1900-01-01 23:08:22;75.0;1745672902;99.626;100.916;96.204;103.413;
1900-01-01 23:08:23;76.0;1745672903;99.626;100.952;96.144;103.413;
1900-01-01 23:08:24;77.0;1745672904;99.681;100.928;96.144;103.385;
1900-01-01 23:08:25;78.0;1745672905;99.741;100.928;96.157;103.377;
1900-01-01 23:08:26;79.0;1745672906;99.741;101.009;96.094;103.377;
1900-01-01 23:08:27;80.0;1745672907;99.681;101.025;96.094;103.473;
1900-01-01 23:08:28;81.0;1745672908;99.755;101.025;96.129;103.469;
1900-01-01 23:08:29;82.0;1745672909;99.755;100.924;96.202;103.469;
1900-01-01 23:08:30;83.0;1745672910;99.738;101.061;96.202;103.466;
1900-01-01 23:08:31;84.0;1745672911;99.738;101.061;96.168;103.462;
1900-01-01 23:08:32;85.0;1745672912;99.673;100.934;96.167;103.462;
1900-01-01 23:08:33;86.0;1745672913;99.709;100.934;96.167;103.467;
1900-01-01 23:08:34;87.0;1745672914;99.709;100.937;96.027;103.355;
1900-01-01 23:08:35;88.0;1745672915;99.686;100.894;96.002;103.355;
1900-01-01 23:08:36;89.0;1745672916;99.653;100.894;96.002;103.443;
1900-01-01 23:08:37;90.0;1745672917;99.653;100.952;95.913;103.386;
1900-01-01 23:08:38;91.0;1745672918;99.512;100.902;95.913;103.386;
1900-01-01 23:08:39;92.0;1745672919;99.524;100.902;95.863;103.396;
1900-01-01 23:08:40;93.0;1745672920;99.524;100.834;95.891;103.363;
1900-01-01 23:08:41;94.0;1745672921;99.512;100.828;95.81;103.363;
1900-01-01 23:08:42;95.0;1745672922;99.442;100.828;95.81;103.389;
