Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
1900-01-01 20:37:07;1.0;1745663827;99.212;100.432;95.383;105.453;
1900-01-01 20:37:08;2.0;1745663828;99.099;100.447;95.362;105.453;
1900-01-01 20:37:09;3.0;1745663829;99.187;100.447;95.362;105.446;
1900-01-01 20:37:10;4.0;1745663830;99.187;100.396;95.336;105.448;
1900-01-01 20:37:11;5.0;1745663831;99.164;100.315;95.293;105.448;
1900-01-01 20:37:12;6.0;1745663832;99.294;100.315;95.293;105.484;
1900-01-01 20:37:13;7.0;1745663833;99.294;100.336;95.303;105.384;
1900-01-01 20:37:14;8.0;1745663834;99.312;100.315;95.303;105.384;
1900-01-01 20:37:15;9.0;1745663835;99.33;100.315;95.246;105.364;
1900-01-01 20:37:17;10.0;1745663837;99.33;100.403;95.256;105.408;
1900-01-01 20:37:17;11.0;1745663837;99.392;100.407;95.256;105.408;
1900-01-01 20:37:18;12.0;1745663838;99.371;100.407;95.25;105.444;
1900-01-01 20:37:19;13.0;1745663839;99.371;100.354;95.273;105.385;
1900-01-01 20:37:20;14.0;1745663840;99.371;100.356;95.273;105.385;
1900-01-01 20:37:21;15.0;1745663841;99.371;100.356;95.291;105.359;
1900-01-01 20:37:22;16.0;1745663842;99.208;100.376;95.288;105.359;
1900-01-01 20:37:23;17.0;1745663843;99.258;100.36;95.288;105.467;
1900-01-01 20:37:24;18.0;1745663844;99.228;100.36;95.419;105.402;
1900-01-01 20:37:25;19.0;1745663845;99.228;100.377;95.391;105.486;
1900-01-01 20:37:26;20.0;1745663846;99.24;100.389;95.391;105.486;
1900-01-01 20:37:27;21.0;1745663847;99.24;100.389;95.41;105.512;
1900-01-01 20:37:28;22.0;1745663848;99.175;100.304;95.476;105.381;
1900-01-01 20:37:29;23.0;1745663849;99.196;100.304;95.476;105.381;
1900-01-01 20:37:30;24.0;1745663850;99.196;100.325;95.496;105.44;
1900-01-01 20:37:31;25.0;1745663851;99.09;100.372;95.405;105.44;
1900-01-01 20:37:32;26.0;1745663852;99.107;100.372;95.405;105.431;
1900-01-01 20:37:33;27.0;1745663853;99.107;100.419;95.388;105.463;
1900-01-01 20:37:34;28.0;1745663854;99.151;100.388;95.388;105.463;
1900-01-01 20:37:35;29.0;1745663855;99.054;100.388;95.292;105.458;
1900-01-01 20:37:36;30.0;1745663856;99.054;100.421;95.221;105.407;
1900-01-01 20:37:37;31.0;1745663857;99.078;100.419;95.221;105.407;
1900-01-01 20:37:38;32.0;1745663858;99.159;100.419;95.173;105.357;
1900-01-01 20:37:39;33.0;1745663859;99.159;100.413;95.225;105.478;
1900-01-01 20:37:40;34.0;1745663860;99.032;100.386;95.225;105.478;
1900-01-01 20:37:41;35.0;1745663861;99.032;100.386;95.228;105.469;
1900-01-01 20:37:42;36.0;1745663862;99.085;100.401;95.286;105.425;
1900-01-01 20:37:43;37.0;1745663863;99.157;100.339;95.286;105.425;
1900-01-01 20:37:44;38.0;1745663864;99.157;100.339;95.338;105.414;
1900-01-01 20:37:45;39.0;1745663865;99.128;100.323;95.27;105.414;
1900-01-01 20:37:46;40.0;1745663866;99.14;100.323;95.27;105.44;
1900-01-01 20:37:47;41.0;1745663867;99.14;100.345;95.248;105.427;
1900-01-01 20:37:48;42.0;1745663868;99.119;100.338;95.225;105.427;
1900-01-01 20:37:49;43.0;1745663869;99.144;100.338;95.225;105.454;
1900-01-01 20:37:50;44.0;1745663870;99.144;100.337;95.174;105.427;
1900-01-01 20:37:51;45.0;1745663871;99.17;100.394;95.114;105.427;
1900-01-01 20:37:52;46.0;1745663872;99.099;100.394;95.114;105.432;
1900-01-01 20:37:53;47.0;1745663873;99.099;100.281;95.128;105.411;
1900-01-01 20:37:54;48.0;1745663874;99.074;100.303;95.019;105.411;
1900-01-01 20:37:55;49.0;1745663875;99.087;100.303;95.019;105.327;
1900-01-01 20:37:56;50.0;1745663876;99.087;100.214;95.05;105.504;
1900-01-01 20:37:57;51.0;1745663877;99.049;100.199;95.05;105.504;
1900-01-01 20:37:58;52.0;1745663878;98.994;100.199;95.025;105.378;
1900-01-01 20:37:59;53.0;1745663879;98.994;100.113;94.991;105.378;
1900-01-01 20:38:00;54.0;1745663880;98.964;100.065;94.991;105.339;
1900-01-01 20:38:01;55.0;1745663881;98.925;100.065;95.023;105.411;
1900-01-01 20:38:02;56.0;1745663882;98.925;100.021;95.008;105.404;
1900-01-01 20:38:03;57.0;1745663883;98.948;99.976;95.008;105.404;
1900-01-01 20:38:04;58.0;1745663884;98.948;99.976;94.96;105.396;
1900-01-01 20:38:05;59.0;1745663885;98.967;99.996;94.85;105.396;
1900-01-01 20:38:06;60.0;1745663886;99.043;99.996;94.85;105.47;
1900-01-01 20:38:07;61.0;1745663887;99.043;99.976;94.907;105.424;
1900-01-01 20:38:08;62.0;1745663888;98.933;100.018;94.896;105.424;
1900-01-01 20:38:09;63.0;1745663889;98.948;100.018;94.896;105.523;
1900-01-01 20:38:10;64.0;1745663890;98.948;100.134;94.93;105.493;
1900-01-01 20:38:11;65.0;1745663891;98.886;100.115;94.948;105.493;
1900-01-01 20:38:12;66.0;1745663892;98.886;100.115;94.948;105.432;
1900-01-01 20:38:13;67.0;1745663893;98.886;100.075;95.003;105.486;
1900-01-01 20:38:14;68.0;1745663894;98.861;100.117;95.003;105.486;
1900-01-01 20:38:15;69.0;1745663895;98.861;100.117;94.924;105.456;
1900-01-01 20:38:16;70.0;1745663896;98.848;100.133;94.985;105.343;
1900-01-01 20:38:17;71.0;1745663897;98.824;100.108;94.985;105.343;
1900-01-01 20:38:18;72.0;1745663898;98.824;100.108;94.992;105.439;
1900-01-01 20:38:19;73.0;1745663899;98.849;100.087;94.944;105.439;
1900-01-01 20:38:20;74.0;1745663900;98.904;100.205;94.944;105.47;
1900-01-01 20:38:21;75.0;1745663901;98.892;100.205;95.043;105.423;
1900-01-01 20:38:22;76.0;1745663902;98.892;100.151;95.025;105.423;
1900-01-01 20:38:23;77.0;1745663903;98.941;100.21;95.025;105.478;
1900-01-01 20:38:24;78.0;1745663904;98.941;100.21;94.951;105.459;
1900-01-01 20:38:25;79.0;1745663905;99.086;100.216;94.904;105.459;
1900-01-01 20:38:26;80.0;1745663906;99.036;100.248;94.904;105.45;
1900-01-01 20:38:28;81.0;1745663908;99.036;100.248;94.836;105.454;
1900-01-01 20:38:28;82.0;1745663908;99.033;100.228;94.881;105.454;
