Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
1900-01-01 01:12:08;1.0;1745680328;100.039;101.417;95.788;103.487;
1900-01-01 01:12:09;2.0;1745680329;99.901;101.394;95.822;103.487;
1900-01-01 01:12:10;3.0;1745680330;99.97;101.394;95.822;103.528;
1900-01-01 01:12:11;4.0;1745680331;99.97;101.326;95.88;103.536;
1900-01-01 01:12:12;5.0;1745680332;99.98;101.339;95.803;103.536;
1900-01-01 01:12:13;6.0;1745680333;100.016;101.339;95.803;103.526;
1900-01-01 01:12:14;7.0;1745680334;100.016;101.244;95.88;103.528;
1900-01-01 01:12:15;8.0;1745680335;99.949;101.334;95.88;103.528;
1900-01-01 01:12:16;9.0;1745680336;100.02;101.334;95.853;103.522;
1900-01-01 01:12:17;10.0;1745680337;100.02;101.254;95.937;103.522;
1900-01-01 01:12:18;11.0;1745680338;100.004;101.276;95.937;103.544;
1900-01-01 01:12:19;12.0;1745680339;100.084;101.276;95.941;103.565;
1900-01-01 01:12:20;13.0;1745680340;100.084;101.199;96.023;103.565;
1900-01-01 01:12:21;14.0;1745680341;100.124;101.259;96.023;103.485;
1900-01-01 01:12:23;15.0;1745680343;100.189;101.259;95.789;103.51;
1900-01-01 01:12:23;16.0;1745680343;100.189;101.189;95.798;103.51;
1900-01-01 01:12:24;17.0;1745680344;100.085;101.243;95.798;103.518;
1900-01-01 01:12:26;18.0;1745680346;100.157;101.243;95.75;103.569;
1900-01-01 01:12:26;19.0;1745680346;100.157;101.296;95.759;103.569;
1900-01-01 01:12:27;20.0;1745680347;100.171;101.296;95.759;103.466;
1900-01-01 01:12:28;21.0;1745680348;100.171;101.329;95.718;103.482;
1900-01-01 01:12:30;22.0;1745680350;100.198;101.283;95.717;103.482;
1900-01-01 01:12:30;23.0;1745680350;100.151;101.283;95.717;103.501;
1900-01-01 01:12:31;24.0;1745680351;100.151;101.344;95.76;103.498;
1900-01-01 01:12:32;25.0;1745680352;100.145;101.305;95.71;103.498;
1900-01-01 01:12:33;26.0;1745680353;100.135;101.305;95.71;103.494;
1900-01-01 01:12:34;27.0;1745680354;100.135;101.314;95.688;103.388;
1900-01-01 01:12:35;28.0;1745680355;100.128;101.298;95.571;103.388;
1900-01-01 01:12:37;29.0;1745680357;100.17;101.298;95.571;103.542;
1900-01-01 01:12:37;30.0;1745680357;100.17;101.221;95.509;103.49;
1900-01-01 01:12:38;31.0;1745680358;100.048;101.275;95.509;103.49;
1900-01-01 01:12:39;32.0;1745680359;100.033;101.275;95.539;103.497;
1900-01-01 01:12:40;33.0;1745680360;100.033;101.336;95.556;103.479;
1900-01-01 01:12:41;34.0;1745680361;100.031;101.267;95.556;103.479;
1900-01-01 01:12:42;35.0;1745680362;100.063;101.267;95.635;103.457;
1900-01-01 01:12:43;36.0;1745680363;100.063;101.234;95.603;103.467;
1900-01-01 01:12:44;37.0;1745680364;99.976;101.314;95.603;103.467;
1900-01-01 01:12:45;38.0;1745680365;99.976;101.314;95.676;103.464;
1900-01-01 01:12:46;39.0;1745680366;100.029;101.325;95.721;103.464;
1900-01-01 01:12:47;40.0;1745680367;100.0;101.29;95.721;103.406;
1900-01-01 01:12:48;41.0;1745680368;100.0;101.29;95.707;103.483;
1900-01-01 01:12:49;42.0;1745680369;100.031;101.236;95.754;103.483;
1900-01-01 01:12:50;43.0;1745680370;100.046;101.267;95.754;103.418;
1900-01-01 01:12:51;44.0;1745680371;100.046;101.267;95.548;103.52;
1900-01-01 01:12:52;45.0;1745680372;100.111;101.212;95.471;103.52;
1900-01-01 01:12:53;46.0;1745680373;100.048;101.194;95.471;103.499;
1900-01-01 01:12:54;47.0;1745680374;100.048;101.194;95.422;103.443;
1900-01-01 01:12:55;48.0;1745680375;100.122;101.287;95.304;103.443;
1900-01-01 01:12:56;49.0;1745680376;99.998;101.287;95.304;103.49;
1900-01-01 01:12:57;50.0;1745680377;99.998;101.316;95.263;103.497;
1900-01-01 01:12:58;51.0;1745680378;100.013;101.332;95.203;103.497;
1900-01-01 01:12:59;52.0;1745680379;100.025;101.332;95.203;103.528;
1900-01-01 01:13:00;53.0;1745680380;100.025;101.2;95.234;103.539;
1900-01-01 01:13:01;54.0;1745680381;100.038;101.293;95.234;103.539;
1900-01-01 01:13:02;55.0;1745680382;100.001;101.293;95.298;103.436;
1900-01-01 01:13:03;56.0;1745680383;100.001;101.337;95.356;103.436;
1900-01-01 01:13:04;57.0;1745680384;99.921;101.321;95.356;103.476;
1900-01-01 01:13:05;58.0;1745680385;99.945;101.321;95.291;103.552;
1900-01-01 01:13:06;59.0;1745680386;99.945;101.301;95.303;103.552;
1900-01-01 01:13:07;60.0;1745680387;99.956;101.366;95.303;103.524;
1900-01-01 01:13:09;61.0;1745680389;99.965;101.366;95.29;103.528;
1900-01-01 01:13:09;62.0;1745680389;99.965;101.286;95.293;103.528;
1900-01-01 01:13:10;63.0;1745680390;99.937;101.284;95.293;103.534;
1900-01-01 01:13:11;64.0;1745680391;99.937;101.284;95.275;103.476;
1900-01-01 01:13:12;65.0;1745680392;100.023;101.356;95.247;103.476;
1900-01-01 01:13:13;66.0;1745680393;99.943;101.356;95.247;103.479;
1900-01-01 01:13:14;67.0;1745680394;99.943;101.397;95.325;103.481;
1900-01-01 01:13:15;68.0;1745680395;100.002;101.435;95.339;103.481;
1900-01-01 01:13:16;69.0;1745680396;99.949;101.435;95.339;103.477;
1900-01-01 01:13:17;70.0;1745680397;99.949;101.391;95.265;103.482;
1900-01-01 01:13:18;71.0;1745680398;99.982;101.341;95.211;103.482;
1900-01-01 01:13:19;72.0;1745680399;99.941;101.341;95.211;103.473;
1900-01-01 01:13:20;73.0;1745680400;99.941;101.307;95.152;103.557;
1900-01-01 01:13:21;74.0;1745680401;100.012;101.315;95.152;103.557;
1900-01-01 01:13:22;75.0;1745680402;99.962;101.315;95.267;103.483;
