TimeStartMeasurement;In Hours;Unix time;MO2;Slope;Intercept;Pearson r;R squared;P value;respirometer;
1900-01-01 16:02:07;0.3502777777777778;1745648526;0.5971222228042863;-0.0006141262613112476;100.63985440566081;-0.9337679580581466;0.8719225994960806;0.0;3;
1900-01-01 16:27:07;0.7669444444444444;1745650026;0.536605298538808;-0.0005518860179810384;99.35221167751088;-0.06673217088253316;0.004453182630695607;0.020839877649821696;3;
1900-01-01 16:52:07;1.1836111111111112;1745651526;0.009608638531282675;-9.882260334902859e-06;98.47114013066445;-0.05005041396055221;0.0025050439376226395;0.08308206882091676;3;
1900-01-01 17:17:07;1.6002777777777777;1745653026;0.6553086218394377;-0.0006739696138677879;98.10139541979429;-0.9626428203851355;0.9266811996390483;0.0;3;
1900-01-01 17:42:07;2.0169444444444444;1745654527;6.792313971196782;-0.006985736295650207;96.24579464553796;-0.061391232914847216;0.00376888347880502;0.03346628328956025;3;
1900-01-01 18:07:07;2.433611111111111;1745656027;10.546666423576223;-0.010847000115972304;94.72861356964138;-0.9936725471323506;0.9873851309244936;0.0;3;
1900-01-01 18:32:07;2.850277777777778;1745657527;8.306763642967242;-0.008543312415494733;95.27145993883794;-0.9987778062767635;0.9975571063110241;0.0;3;
1900-01-01 18:57:07;3.2669444444444444;1745659027;7.208275573277156;-0.0074135430892660345;96.21351845843758;-0.9988351146116394;0.9976715861812468;0.0;3;
1900-01-01 19:22:07;3.683611111111111;1745660527;6.756636311245181;-0.006949042655585179;96.32954928134555;-0.9987504788461758;0.9975025189954656;0.0;3;
1900-01-01 19:47:07;4.1002777777777775;1745662027;6.679899646811533;-0.006870120788278326;96.46522336669446;-0.9945916620662235;0.989212574251653;0.0;3;
1900-01-01 20:12:07;4.516944444444444;1745663527;8.439152581318398;-0.008679471346855103;96.24421921045315;-0.9874566257714454;0.9750705877799285;0.0;3;
1900-01-01 20:37:07;4.933611111111111;1745665027;6.2980244342584;-0.006477371050257674;95.37246714901306;-0.6472534952905218;0.41893708716579753;2.092748545064778e-143;3;
1900-01-01 21:02:07;5.3502777777777775;1745666527;5.595292712056332;-0.005754627885158254;96.68126404503752;-0.9967303246333699;0.9934713400437428;0.0;3;
1900-01-01 21:27:07;5.766944444444444;1745668027;8.853866159541717;-0.009105994577079567;96.45819557686963;-0.9940410373889477;0.9881175840132953;0.0;3;
1900-01-01 21:52:07;6.183888888888889;1745669527;5.437383987305556;-0.0055922224494600326;96.92237874756742;-0.9986272865023174;0.9972564573469814;0.0;3;
1900-01-01 22:17:08;6.600555555555555;1745671027;5.223871756518401;-0.005372630106335136;97.38745129149082;-0.9975149896195256;0.9950361545156422;0.0;3;
1900-01-01 22:42:07;7.017222222222222;1745672527;4.856262223508204;-0.0049945522865720605;96.71687829725228;-0.9953767120799604;0.9907747989511123;0.0;3;
1900-01-01 23:07:08;7.433888888888889;1745674027;4.580292345916613;-0.004710723712308134;96.7211487559077;-0.993250736237137;0.9865470250356146;0.0;3;
1900-01-01 23:32:08;7.850555555555555;1745675527;6.402983707886996;-0.006585319212027229;97.50380252015569;-0.9688885871547257;0.9387450943186805;0.0;3;
1900-01-01 23:57:08;8.267222222222221;1745677028;9.793665469209955;-0.010072556219550236;96.7426316477468;-0.9351986545474519;0.8745965234673643;4.1999701026550004e-78;3;
1900-01-01 00:22:08;8.68388888888889;1745678527;6.205014665125756;-0.006381712674800468;97.32105846121769;-0.9979870036285351;0.9959780594114617;0.0;3;
1900-01-01 00:47:08;9.100555555555555;1745680028;6.517674553431898;-0.00670327606824727;97.88491644564915;-0.6278098923985582;0.39414526099348923;1.5957887434327095e-132;3;
1900-01-01 01:12:08;9.517222222222221;1745681528;11.332957229894925;-0.011655681847695725;96.16647944954127;-0.8339111349235525;0.6954077809494874;1.5449235844525e-311;3;
1900-01-01 01:37:08;9.93388888888889;1745683028;5.74015472154948;-0.005903615078899359;96.28295252154572;-0.9983143804555786;0.9966316022244058;0.0;3;
1900-01-01 02:02:08;10.350555555555555;1745684528;5.981288986718031;-0.0061516160393166935;97.61394459827633;-0.9808795270012729;0.9621246464902409;0.0;3;
1900-01-01 02:27:08;10.767222222222221;1745686028;6.510931421106373;-0.006696340914125634;97.03221605226577;-0.6663378849055409;0.4440061768603899;6.845175657812204e-155;3;
1900-01-01 02:52:08;11.18388888888889;1745687528;6.009235661729457;-0.006180358541915653;98.2048336377537;-0.9867468162832564;0.9736692794451427;0.0;3;
1900-01-01 03:17:08;11.600555555555555;1745689028;12.408185278834928;-0.012761528785783878;98.78125470252988;-0.988922128223378;0.9779669756898552;0.0;3;
1900-01-01 03:42:09;12.017222222222221;1745690528;10.28556245897327;-0.010578460786047359;94.80602642992699;-0.9983022549431357;0.9966073922245495;0.0;3;
1900-01-01 04:07:08;12.43388888888889;1745692028;7.6830427464750235;-0.007901830039465308;96.30821977203226;-0.7140038143042425;0.5098014468410073;1.1000595906952157e-187;3;
1900-01-01 04:32:08;12.850555555555555;1745693528;8.724512611996166;-0.008972957474276023;97.31769596330275;-0.9906739907155728;0.9814349558803189;0.0;3;
1900-01-01 04:57:08;13.267222222222221;1745695028;11.295943740866225;-0.01161761433862107;95.15667074367529;-0.989297127124521;0.9787088057368307;0.0;3;
1900-01-01 05:22:09;13.684166666666666;1745696528;18.117331509949672;-0.01863325235642525;97.7952463733667;-0.9978865479962867;0.9957775626719455;0.0;3;
1900-01-01 05:47:09;14.100833333333334;1745698028;12.183089824814893;-0.012530023368071781;97.76364736586044;-0.9915593466821342;0.9831899379927008;0.0;3;
