AQUARESP VERSION 3  ASAP - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1745641134
Flush time ,s: 240
Wait time, s: 60
Measurement time, s: 1200
Mass of fish, kg: 0.123
Volume respirometer, L: 3.35
Real volume (vresp - vfish) (neutrally bouyant), L: 3.2270000000000003
Salinity: 35.5
Temperature: 15.6
Oxygen solubilty, mg O2 / L: 8.062287064122385

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2;SLOPE;Intercept;Pearson R;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;
2025-04-26 16:02:07;0.35;1745648526;124.18924564045027;-0.0163090767626333;96.79758450628724;-0.9992922140266681;0.9985849290143203;0.0;1.7745118799838155e-05;1199;87.01213844870726;86.936;77.252;96.35;19.098;8.062287064122385;26.23577235772358;0.35;21.0;1260;0.014583333333333334;
2025-04-26 16:27:07;0.7666666666666667;1745650026;132.9017481369086;-0.01745324082673235;100.40243990888344;-0.9325147534761039;0.8695837654505989;0.0;0.00019536156377745312;1199;89.93049541284402;89.839;0.0;100.297;100.297;8.062287064122385;26.23577235772358;0.7666666666666667;46.0;2760;0.03194444444444444;
2025-04-26 16:52:07;1.1836111111111112;1745651526;120.47219287454972;-0.01582093708051186;100.81801521684736;-0.997992504204686;0.9959890384487402;0.0;2.900686304253833e-05;1200;91.31754249999999;91.6375;81.106;100.02;18.914;8.062287064122385;26.23577235772358;1.1836111111111112;71.01666666666667;4261;0.04931712962962963;
2025-04-26 17:17:07;1.6002777777777777;1745653026;98.2831861037994;-0.012906979331235649;99.59332275507369;-0.9997432656421567;0.9994865971968439;0.0;8.451559162971025e-06;1200;91.84268166666668;91.8945;84.023;99.411;15.388000000000005;8.062287064122385;26.23577235772358;1.6002777777777777;96.01666666666667;5761;0.06667824074074075;
2025-04-26 17:42:07;2.0169444444444444;1745654527;86.0531858794752;-0.0113008820283903;98.68149465804836;-0.9984347551235335;0.9968719602385904;0.0;1.8289438582609436e-05;1200;91.895315;91.949;84.533;98.627;14.093999999999994;8.062287064122385;26.23577235772358;2.0169444444444444;121.01666666666667;7261;0.08403935185185185;
2025-04-26 18:07:07;2.433611111111111;1745656027;86.67845891157579;-0.011382995627080294;98.08598220739505;-0.9979845886484553;0.9959732391798265;0.0;2.0911358252090893e-05;1200;91.25049333333334;90.993;84.784;98.23;13.445999999999998;8.062287064122385;26.23577235772358;2.433611111111111;146.01666666666668;8761;0.10140046296296296;
2025-04-26 18:32:07;2.850277777777778;1745657527;103.28571471593767;-0.013563933343009264;99.06084863914373;-0.9965251863013733;0.9930624469329868;0.0;3.2754586209357334e-05;1200;90.91570666666667;91.30250000000001;82.158;98.993;16.834999999999994;8.062287064122385;26.23577235772358;2.850277777777778;171.01666666666668;10261;0.11876157407407407;
2025-04-26 18:57:07;3.2669444444444444;1745659027;83.7564400332286;-0.010999263284210616;98.56222760216846;-0.9980048329119182;0.9960136465155458;0.0;2.0104369033797467e-05;1200;91.95716999999999;91.84;84.743;98.822;14.079000000000008;8.062287064122385;26.23577235772358;3.2669444444444444;196.01666666666668;11761;0.1361226851851852;
2025-04-26 19:22:07;3.683611111111111;1745660527;59.79170999110952;-0.007852109761881778;99.17618441201002;-0.9962829410733183;0.992579698673701;0.0;1.9614896888006872e-05;1200;94.4609925;94.472;89.045;99.624;10.578999999999994;8.062287064122385;26.23577235772358;3.683611111111111;221.01666666666668;13261;0.1534837962962963;
2025-04-26 19:47:07;4.1002777777777775;1745662027;66.5957948173465;-0.008745652042119476;99.60265321795941;-0.9946076567110522;0.9892443907882503;0.0;2.634689825601964e-05;1200;94.35088916666668;94.2285;88.23;99.817;11.586999999999989;8.062287064122385;26.23577235772358;4.1002777777777775;246.01666666666668;14761;0.1708449074074074;
2025-04-26 20:12:07;4.516944444444444;1745663527;46.23162124288512;-0.00607133939676347;98.58262930775646;-0.9987059878253305;0.9974136501181692;0.0;8.932275023313697e-06;1200;94.93679;95.0255;91.093;98.666;7.572999999999993;8.062287064122385;26.23577235772358;4.516944444444444;271.01666666666665;16261;0.1882060185185185;
2025-04-26 20:37:07;4.933611111111111;1745665027;59.40062959982723;-0.00780075136857734;99.13988953016403;-0.7010931832021278;0.4915316515324923;3.703071133077868e-178;0.00022922619443117295;1200;94.45553833333334;94.051;0.0;99.392;99.392;8.062287064122385;26.23577235772358;4.933611111111111;296.01666666666665;17761;0.20556712962962964;
2025-04-26 21:02:07;5.3502777777777775;1745666527;70.63066958130067;-0.009275529503839933;100.62737713372255;-0.980867403014646;0.962100862296696;0.0;5.31881230255649e-05;1200;95.05742166666667;95.90100000000001;88.004;99.917;11.912999999999997;8.062287064122385;26.23577235772358;5.3502777777777775;321.01666666666665;19261;0.22292824074074075;
2025-04-26 21:27:07;5.766944444444444;1745668027;81.84236447129874;-0.010747898481179501;99.03809387128162;-0.9945925061172289;0.98921425322455;0.0;3.242463335102188e-05;1200;92.58398083333333;92.165;86.74;99.512;12.772000000000006;8.062287064122385;26.23577235772358;5.766944444444444;346.01666666666665;20761;0.24028935185185185;
